TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TOSS_WINNER_MODEL,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,WIN_RATE_TEAM1,WIN_RATE_TEAM2,WINNER,WINNER_MODEL,AHP_RATIO_TEAM1,AHP_RATIO_TEAM2
SRH,1,MI,0,MI,0,312.24713060624515,229.9193438270796,538.7319056988158,454.17829814960527,0.338495,0.7718253737373737,SRH,1,9.026536,15.160852
CSK,1,KKR,0,CSK,1,568.0494992919545,475.19940690000004,399.66554420530326,363.7560169242637,0.939480705882353,0.5427101935483871,CSK,1,16.900712,12.745465
KXIP,1,MI,0,KXIP,1,216.0023997663612,205.66411342814038,538.7319056988158,454.17829814960527,0.44006795744680854,0.76410712,MI,0,9.380131,15.160852
DD,1,RR,0,RR,0,194.2738851323634,173.771720838183,478.2032118791325,326.260974745041,0.33664307368421054,0.6253985263157895,RR,0,8.076035,12.695051
SRH,1,RCB,0,RCB,0,312.24713060624515,229.9193438270796,337.66765506281837,310.4879130566968,0.3433804948453608,0.4538400206185567,RCB,0,9.026536,9.982425
RR,1,KKR,0,KKR,0,478.2032118791325,326.260974745041,399.66554420530326,363.7560169242637,0.6307855729166667,0.5369366808510638,RR,1,12.695051,12.745465
DD,1,CSK,0,CSK,0,194.2738851323634,173.771720838183,568.0494992919545,475.19940690000004,0.333136375,0.9451271456310678,CSK,0,8.076035,16.900712
MI,1,RCB,0,RCB,0,538.7319056988158,454.17829814960527,337.66765506281837,310.4879130566968,0.7700513762376237,0.4583765306122449,MI,1,15.160852,9.982425
DD,1,KKR,0,DD,1,194.2738851323634,173.771720838183,399.66554420530326,363.7560169242637,0.3297019793814433,0.5312847157894737,KKR,0,8.076035,12.745465
KXIP,1,CSK,0,CSK,0,216.0023997663612,205.66411342814038,568.0494992919545,475.19940690000004,0.4354356631578948,0.950665,KXIP,1,9.380131,16.900712
SRH,1,RR,0,RR,0,312.24713060624515,229.9193438270796,478.2032118791325,326.260974745041,0.33987661224489796,0.6360615463917526,SRH,1,9.026536,12.695051
KXIP,1,RCB,0,RCB,0,216.0023997663612,205.66411342814038,337.66765506281837,310.4879130566968,0.43969375,0.4537464646464647,KXIP,1,9.380131,9.982425
DD,1,SRH,0,SRH,0,194.2738851323634,173.771720838183,279.36729881686466,205.70868307422808,0.32633767346938775,0.3083576363636364,SRH,0,8.076035,9.026536
MI,1,CSK,0,CSK,0,538.7319056988158,454.17829814960527,568.0494992919545,475.19940690000004,0.7758790784313725,0.9416110476190477,CSK,0,15.160852,16.900712
KXIP,1,KKR,0,KKR,0,216.0023997663612,205.66411342814038,399.66554420530326,363.7560169242637,0.44386404123711337,0.537699375,KKR,0,9.380131,12.745465
RCB,1,RR,0,RCB,1,337.66765506281837,310.4879130566968,478.2032118791325,326.260974745041,0.449209,0.6295711224489795,RR,0,9.982425,12.695051
SRH,1,MI,0,SRH,1,312.24713060624515,229.9193438270796,538.7319056988158,454.17829814960527,0.34932683999999997,0.7683462718446601,MI,0,9.026536,15.160852
RR,1,CSK,0,RR,1,478.2032118791325,326.260974745041,568.0494992919545,475.19940690000004,0.6347527777777778,0.9470775849056603,CSK,0,12.695051,16.900712
RCB,1,DD,0,DD,0,337.66765506281837,310.4879130566968,267.2845238,239.077381,0.44476138613861393,0.4444444444444444,RCB,1,9.982425,8.076035
SRH,1,KXIP,0,KXIP,0,312.24713060624515,229.9193438270796,216.0023997663612,205.66411342814038,0.3458681584158415,0.4393348163265306,KXIP,0,9.026536,9.380131
MI,1,KKR,0,KKR,0,538.7319056988158,454.17829814960527,399.66554420530326,363.7560169242637,0.774078298076923,0.5439817731958763,KKR,0,15.160852,12.745465
RR,1,DD,0,DD,0,478.2032118791325,326.260974745041,267.2845238,239.077381,0.62840525,0.44,RR,1,12.695051,8.076035
CSK,1,RCB,0,CSK,1,568.0494992919545,475.19940690000004,337.66765506281837,310.4879130566968,0.9524419439252335,0.449209,RCB,0,16.900712,9.982425
SRH,1,KKR,0,SRH,1,312.24713060624515,229.9193438270796,399.66554420530326,363.7560169242637,0.34247729411764705,0.5501359591836734,KKR,0,9.026536,12.745465
MI,1,RR,0,MI,1,538.7319056988158,454.17829814960527,478.2032118791325,326.260974745041,0.7667061238095237,0.6334958415841585,MI,1,15.160852,12.695051
DD,1,KXIP,0,KXIP,0,194.2738851323634,173.771720838183,216.0023997663612,205.66411342814038,0.3166444752475248,0.44342448484848485,KXIP,0,8.076035,9.380131
RCB,1,SRH,0,RCB,1,337.66765506281837,310.4879130566968,384.35714289999993,283.0166667,0.45357025242718446,0.4174757281553398,SRH,0,9.982425,9.026536
CSK,1,KKR,0,KKR,0,568.0494992919545,475.19940690000004,399.66554420530326,363.7560169242637,0.943623037037037,0.5561658181818183,KKR,0,16.900712,12.745465
KXIP,1,MI,0,MI,0,216.0023997663612,205.66411342814038,538.7319056988158,454.17829814960527,0.44743236000000003,0.7723454716981132,MI,0,9.380131,15.160852
