,Unnamed: 0,Unnamed: 0.1,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,TEAM2_MODEL,TOSS_WINNER,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL,WIN_RATE_TEAM1,WIN_RATE_TEAM2
90,90,90,150,2009,East London,East London,MI,1,DD,0.9744666654686949,1.3570146522540096,-0.13356608492911168,-0.007138137086358378,0,MI,bat,normal,DD,0,1,0,1,2,0.4761904761904762,0.5714285714285714
91,91,91,151,2009,Kimberley,Kimberley,SRH,1,KXIP,-1.3075377153229277,-1.5448679949355644,0.6119385691663161,0.9846709589462354,0,KXIP,field,normal,KXIP,0,0,0,0,2,0.3181818181818182,0.5833333333333334
92,92,92,152,2009,Kimberley,Kimberley,RR,1,CSK,0.9403294254113047,1.3136044531416318,1.7884511905275604,2.5498871022030256,0,RR,bat,normal,CSK,0,1,0,1,2,0.75,0.5833333333333334
93,93,93,153,2009,Port Elizabeth,Port Elizabeth,MI,1,RCB,0.9744666654686949,1.3570146522540096,-1.099704590900768,-1.292475462596029,0,MI,bat,normal,MI,16,1,1,1,2,0.4545454545454545,0.3478260869565217
94,94,94,154,2009,Johannesburg,Johannesburg,KKR,1,DD,-0.9595172037443676,-1.1023120156759956,-0.13356608492911168,-0.007138137086358378,0,DD,field,normal,DD,0,0,0,0,2,0.3333333333333333,0.5909090909090909
95,95,95,155,2009,Kimberley,Kimberley,SRH,1,RR,-1.3075377153229277,-1.5448679949355644,0.8962672293280006,1.3629378817105051,0,SRH,bat,normal,SRH,53,1,1,1,2,0.3043478260869565,0.72
96,96,96,156,2009,Centurion,Centurion,KKR,1,RCB,-0.9595172037443676,-1.1023120156759956,-1.099704590900768,-1.292475462596029,0,RCB,field,normal,RCB,0,0,0,0,2,0.3181818181818182,0.3333333333333333
97,97,97,157,2009,Centurion,Centurion,KXIP,1,MI,0.6325826106115987,0.9222620222890954,0.9278067782700512,1.404897662046747,0,KXIP,bat,normal,MI,0,1,0,1,2,0.6,0.4782608695652174
98,98,98,158,2009,Durban,Durban,DD,1,SRH,-0.17432402548256176,-0.10383082174456904,-1.180547287054287,-1.400027469082357,0,SRH,field,normal,DD,12,0,1,0,2,0.6086956521739131,0.3333333333333333
99,99,99,159,2009,Durban,Durban,CSK,1,RCB,1.905996312873215,2.5415828072932527,-1.099704590900768,-1.292475462596029,0,CSK,bat,normal,RCB,0,1,0,1,2,0.6,0.36
100,100,100,160,2009,Durban,Durban,RR,1,MI,0.9403294254113047,1.3136044531416318,0.9278067782700512,1.404897662046747,0,RR,bat,normal,RR,2,1,1,1,2,0.6923076923076923,0.5
101,101,101,161,2009,Bloemfontein,Bloemfontein,DD,1,KXIP,-0.17432402548256176,-0.10383082174456904,0.6119385691663161,0.9846709589462354,0,KXIP,field,normal,KXIP,0,0,0,0,2,0.625,0.5769230769230769
102,102,102,162,2009,Port Elizabeth,Port Elizabeth,MI,1,CSK,0.9744666654686949,1.3570146522540096,1.7884511905275604,2.5498871022030256,0,MI,bat,normal,CSK,0,1,0,1,2,0.48,0.5769230769230769
103,103,103,163,2009,Johannesburg,Johannesburg,KKR,1,SRH,-0.9595172037443676,-1.1023120156759956,-1.180547287054287,-1.400027469082357,0,SRH,field,normal,SRH,0,0,0,0,2,0.3043478260869565,0.32
104,104,104,164,2009,Johannesburg,Johannesburg,KXIP,1,SRH,0.6325826106115987,0.9222620222890954,-1.180547287054287,-1.400027469082357,0,SRH,field,normal,KXIP,1,0,1,0,2,0.5925925925925926,0.3461538461538461
105,105,105,165,2009,Bloemfontein,Bloemfontein,DD,1,RR,-0.17432402548256176,-0.10383082174456904,0.8962672293280006,1.3629378817105051,0,DD,bat,normal,DD,14,1,1,1,2,0.6,0.7037037037037037
