,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL,WIN_RATE_TEAM1,WIN_RATE_TEAM2
625,632,2016,Raipur,Raipur,DD,1,RCB,0,RCB,247.3797619,273.0392857,249.259375,261.43928569999997,field,normal,RCB,0,0,0,0,2,0.0933852140077821,0.11478599221789886
626,633,2016,Bangalore,RCB,GL,1,RCB,0,RCB,,,249.259375,261.43928569999997,field,normal,RCB,0,0,0,0,0,0.0,0.11478599221789886
627,634,2016,Delhi,DD,SRH,1,KKR,0,KKR,300.11071430000004,269.29744900000003,388.7692308,371.89010989999997,field,normal,SRH,22,0,1,0,2,0.10116731517509728,0.11673151750972766
628,635,2016,Delhi,DD,GL,1,SRH,0,SRH,,,300.11071430000004,269.29744900000003,field,normal,SRH,0,0,0,0,2,0.0,0.10116731517509728
629,636,2016,Bangalore,RCB,SRH,1,RCB,0,SRH,300.11071430000004,269.29744900000003,249.259375,261.43928569999997,bat,normal,SRH,8,1,1,1,0,0.10116731517509728,0.11478599221789886
630,7894,2018,Mumbai,MI,MI,1,CSK,0,CSK,265.6601307,304.02521010000004,,,field,normal,CSK,0,0,0,0,1,0.14533965244865718,0.12480252764612955
631,7895,2018,Mohali,KXIP,DD,1,KXIP,0,KXIP,272.3392857,275.0734127,244.21428569999998,268.8730159,field,normal,KXIP,0,0,0,0,0,0.09636650868878358,0.11058451816745657
632,7896,2018,Kolkata,KKR,RCB,1,KKR,0,KKR,399.46153849999996,309.8255495,256.15625,259.9321925,field,normal,KKR,0,0,0,0,0,0.11216429699842022,0.1216429699842022
633,7897,2018,Hyderabad,SRH,RR,1,SRH,0,SRH,,,398.85714289999993,319.8769841,field,normal,SRH,0,0,0,0,0,0.0995260663507109,0.11216429699842022
634,7898,2018,Chennai,CSK,KKR,1,CSK,0,CSK,256.15625,259.9321925,,,field,normal,CSK,0,0,0,0,0,0.1216429699842022,0.12480252764612955
635,7899,2018,Jaipur,RR,RR,1,DD,0,DD,,,272.3392857,275.0734127,field,normal,RR,10,0,1,0,1,0.0995260663507109,0.09636650868878358
