ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL
191,2010,Mumbai,MI,KKR,1,MI,0,KKR,bat,normal,MI,0,1,0,1,0
192,2010,Bangalore,RCB,RCB,1,CSK,0,CSK,field,normal,RCB,36,0,1,0,1
193,2010,Chandigarh,KXIP,RR,1,KXIP,0,KXIP,field,normal,RR,31,0,1,0,0
194,2010,Mumbai,MI,CSK,1,MI,0,MI,field,normal,MI,0,0,0,0,0
195,2010,Ahmedabad,Ahmedabad,SRH,1,RR,0,SRH,bat,normal,RR,0,1,0,1,2
196,2010,Chandigarh,KXIP,KKR,1,KXIP,0,KKR,bat,normal,KKR,39,1,1,1,0
197,2010,Bangalore,RCB,DD,1,RCB,0,RCB,field,normal,DD,17,0,1,0,0
198,2010,Ahmedabad,Ahmedabad,RR,1,CSK,0,RR,bat,normal,RR,17,1,1,1,2
199,2010,Mumbai,MI,MI,1,SRH,0,SRH,field,normal,MI,41,0,1,0,1
200,2010,Delhi,DD,DD,1,KKR,0,DD,bat,normal,DD,40,1,1,1,1
201,2010,Mumbai,MI,KXIP,1,MI,0,MI,field,normal,MI,0,0,0,0,0
202,2010,Chennai,CSK,RCB,1,CSK,0,RCB,bat,normal,CSK,0,1,0,1,0
203,2010,Delhi,DD,DD,1,RR,0,DD,bat,normal,DD,67,1,1,1,1
204,2010,Kolkata,KKR,KKR,1,SRH,0,KKR,bat,normal,KKR,24,1,1,1,1
205,2010,Chandigarh,KXIP,KXIP,1,RCB,0,KXIP,bat,normal,RCB,0,1,0,1,1
206,2010,Chennai,CSK,CSK,1,RR,0,CSK,bat,normal,CSK,23,1,1,1,1
207,2010,Mumbai,MI,MI,1,SRH,0,MI,bat,normal,MI,63,1,1,1,1
208,2010,Kolkata,KKR,KKR,1,KXIP,0,KKR,bat,normal,KXIP,0,1,0,1,1
209,2010,Delhi,DD,DD,1,RCB,0,DD,bat,normal,DD,37,1,1,1,1
210,2010,Nagpur,Nagpur,RR,1,SRH,0,RR,bat,normal,RR,2,1,1,1,2
211,2010,Chennai,CSK,CSK,1,MI,0,CSK,bat,normal,CSK,24,1,1,1,1
212,2010,Jaipur,RR,KXIP,1,RR,0,KXIP,bat,normal,RR,0,1,0,1,0
213,2010,Kolkata,KKR,KKR,1,DD,0,KKR,bat,normal,KKR,14,1,1,1,1
214,2010,Bangalore,RCB,RCB,1,SRH,0,SRH,field,normal,SRH,0,0,0,0,1
215,2010,Chandigarh,KXIP,MI,1,KXIP,0,MI,bat,normal,KXIP,0,1,0,1,0
216,2010,Nagpur,Nagpur,CSK,1,SRH,0,CSK,bat,normal,SRH,0,1,0,1,2
217,2010,Bangalore,RCB,KKR,1,RCB,0,RCB,field,normal,RCB,0,0,0,0,0
218,2010,Delhi,DD,DD,1,KXIP,0,DD,bat,normal,KXIP,0,1,0,1,1
219,2010,Jaipur,RR,MI,1,RR,0,RR,field,normal,MI,37,0,1,0,0
220,2010,Nagpur,Nagpur,SRH,1,RCB,0,RCB,field,normal,SRH,13,0,1,0,2
221,2010,Mumbai,MI,MI,1,DD,0,MI,bat,normal,MI,39,1,1,1,1
222,2010,Chennai,CSK,KKR,1,CSK,0,KKR,bat,normal,CSK,0,1,0,1,0
223,2010,Jaipur,RR,RR,1,RCB,0,RR,bat,normal,RCB,0,1,0,1,1
224,2010,Chennai,CSK,CSK,1,DD,0,CSK,bat,normal,DD,0,1,0,1,1
225,2010,Dharamsala,Dharamsala,KXIP,1,SRH,0,SRH,field,normal,SRH,0,0,0,0,2
226,2010,Bangalore,RCB,MI,1,RCB,0,RCB,field,normal,MI,57,0,1,0,0
227,2010,Kolkata,KKR,RR,1,KKR,0,RR,bat,normal,KKR,0,1,0,1,0
228,2010,Dharamsala,Dharamsala,KXIP,1,CSK,0,CSK,field,normal,CSK,0,0,0,0,2
229,2010,Delhi,DD,SRH,1,DD,0,SRH,bat,normal,SRH,11,1,1,1,0
230,2010,Kolkata,KKR,MI,1,KKR,0,MI,bat,normal,KKR,0,1,0,1,0
231,2010,Mumbai,MI,MI,1,RCB,0,MI,bat,normal,MI,35,1,1,1,1
232,2010,Mumbai,MI,CSK,1,SRH,0,CSK,bat,normal,CSK,38,1,1,1,2
233,2010,Mumbai,MI,SRH,1,RCB,0,SRH,bat,normal,RCB,0,1,0,1,2
234,2010,Mumbai,MI,CSK,1,MI,0,CSK,bat,normal,CSK,22,1,1,1,0
235,2011,Chennai,CSK,CSK,1,KKR,0,CSK,bat,normal,CSK,2,1,1,1,1
236,2011,Hyderabad,SRH,SRH,1,RR,0,RR,field,normal,RR,0,0,0,0,1
237,2011,Kochi,Kochi,KTK,1,RCB,0,KTK,bat,normal,RCB,0,1,0,1,2
238,2011,Delhi,DD,DD,1,MI,0,DD,bat,normal,MI,0,1,0,1,1
239,2011,Mumbai,MI,KXIP,1,RPS,0,KXIP,bat,normal,RPS,0,1,0,1,2
240,2011,Kolkata,KKR,KKR,1,SRH,0,KKR,bat,normal,KKR,9,1,1,1,1
241,2011,Jaipur,RR,DD,1,RR,0,DD,bat,normal,RR,0,1,0,1,0
242,2011,Bangalore,RCB,RCB,1,MI,0,MI,field,normal,MI,0,0,0,0,1
243,2011,Chandigarh,KXIP,CSK,1,KXIP,0,KXIP,field,normal,KXIP,0,0,0,0,0
244,2011,Mumbai,MI,KTK,1,RPS,0,KTK,bat,normal,RPS,0,1,0,1,2
245,2011,Hyderabad,SRH,SRH,1,RCB,0,RCB,field,normal,SRH,33,0,1,0,1
246,2011,Jaipur,RR,RR,1,KKR,0,KKR,field,normal,KKR,0,0,0,0,1
247,2011,Mumbai,MI,MI,1,KTK,0,KTK,field,normal,KTK,0,0,0,0,1
248,2011,Chennai,CSK,CSK,1,RCB,0,CSK,bat,normal,CSK,21,1,1,1,1
249,2011,Hyderabad,SRH,SRH,1,KXIP,0,KXIP,field,normal,KXIP,0,0,0,0,1
250,2011,Mumbai,MI,RPS,1,DD,0,DD,field,normal,DD,0,0,0,0,2
251,2011,Kolkata,KKR,RR,1,KKR,0,KKR,field,normal,KKR,0,0,0,0,0
252,2011,Kochi,Kochi,CSK,1,KTK,0,KTK,field,normal,KTK,0,0,0,0,2
253,2011,Delhi,DD,SRH,1,DD,0,SRH,bat,normal,SRH,16,1,1,1,0
254,2011,Mumbai,MI,RPS,1,MI,0,RPS,bat,normal,MI,0,1,0,1,0
255,2011,Kolkata,KKR,KTK,1,KKR,0,KKR,field,normal,KTK,6,0,1,0,0
256,2011,Chandigarh,KXIP,KXIP,1,RR,0,RR,field,normal,KXIP,48,0,1,0,1
257,2011,Mumbai,MI,MI,1,CSK,0,CSK,field,normal,MI,8,0,1,0,1
258,2011,Kolkata,KKR,KKR,1,RCB,0,RCB,field,normal,RCB,0,0,0,0,1
259,2011,Delhi,DD,DD,1,KXIP,0,KXIP,field,normal,DD,29,0,1,0,1
260,2011,Hyderabad,SRH,MI,1,SRH,0,SRH,field,normal,MI,37,0,1,0,0
261,2011,Jaipur,RR,KTK,1,RR,0,RR,field,normal,RR,0,0,0,0,0
262,2011,Chennai,CSK,CSK,1,RPS,0,RPS,field,normal,CSK,25,0,1,0,1
263,2011,Delhi,DD,DD,1,RCB,0,RCB,field,normal,RCB,0,0,0,0,1
264,2011,Mumbai,MI,RPS,1,CSK,0,RPS,bat,normal,CSK,0,1,0,1,2
265,2011,Kochi,Kochi,SRH,1,KTK,0,KTK,field,normal,SRH,55,0,1,0,2
266,2011,Delhi,DD,KKR,1,DD,0,DD,field,normal,KKR,17,0,1,0,0
267,2011,Jaipur,RR,MI,1,RR,0,RR,field,normal,RR,0,0,0,0,0
