,Unnamed: 0,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL,WIN_RATE_TEAM1,WIN_RATE_TEAM2
76,76,136,2009,Centurion,Centurion,SRH,1,DD,0,DD,251.8548469,251.8548469,305.1106061000001,305.1106061000001,field,normal,DD,0,0,0,0,2,0.07792207792207792,0.14285714285714285
77,77,137,2009,Centurion,Centurion,CSK,1,RR,0,RR,260.9975198,260.9975198,251.3936012,251.3936012,field,normal,CSK,38,0,1,0,2,0.14102564102564102,0.19230769230769232
78,78,138,2009,East London,East London,MI,1,KKR,0,MI,336.7994228,336.7994228,224.5290543,224.5290543,bat,normal,MI,9,1,1,1,2,0.12658227848101267,0.08860759493670886
79,79,139,2009,Durban,Durban,RCB,1,KXIP,0,RCB,281.7181509,281.7181509,233.5653872,233.5653872,bat,normal,RCB,8,1,1,1,2,0.0875,0.1625
80,80,140,2009,Port Elizabeth,Port Elizabeth,SRH,1,RR,0,SRH,251.8548469,251.8548469,251.3936012,251.3936012,bat,normal,RR,0,1,0,1,2,0.07407407407407407,0.19753086419753085
81,81,141,2009,Johannesburg,Johannesburg,CSK,1,DD,0,DD,260.9975198,260.9975198,305.1106061000001,305.1106061000001,field,normal,CSK,18,0,1,0,2,0.14634146341463414,0.13414634146341464
82,82,142,2009,Port Elizabeth,Port Elizabeth,KKR,1,KXIP,0,KKR,224.5290543,224.5290543,233.5653872,233.5653872,bat,normal,KXIP,0,1,0,1,2,0.08433734939759036,0.1686746987951807
83,83,143,2009,Johannesburg,Johannesburg,MI,1,RCB,0,MI,336.7994228,336.7994228,281.7181509,281.7181509,bat,normal,RCB,0,1,0,1,2,0.11904761904761904,0.09523809523809523
84,84,144,2009,East London,East London,CSK,1,SRH,0,CSK,260.9975198,260.9975198,251.8548469,251.8548469,bat,normal,CSK,78,1,1,1,2,0.15294117647058825,0.07058823529411765
85,85,145,2009,Durban,Durban,RR,1,KXIP,0,KXIP,251.3936012,251.3936012,233.5653872,233.5653872,field,normal,RR,78,0,1,0,2,0.19767441860465115,0.16279069767441862
86,86,146,2009,Durban,Durban,KKR,1,DD,0,KKR,224.5290543,224.5290543,305.1106061000001,305.1106061000001,bat,normal,DD,0,1,0,1,2,0.08045977011494253,0.13793103448275862
87,87,147,2009,Centurion,Centurion,SRH,1,MI,0,SRH,251.8548469,251.8548469,336.7994228,336.7994228,bat,normal,SRH,19,1,1,1,2,0.07954545454545454,0.11363636363636363
88,88,148,2009,Centurion,Centurion,RCB,1,RR,0,RR,281.7181509,281.7181509,251.3936012,251.3936012,field,normal,RR,0,0,0,0,2,0.0898876404494382,0.20224719101123595
89,89,149,2009,Centurion,Centurion,CSK,1,KXIP,0,CSK,260.9975198,260.9975198,233.5653872,233.5653872,bat,normal,CSK,12,1,1,1,2,0.15555555555555556,0.15555555555555556
90,90,150,2009,East London,East London,MI,1,DD,0,MI,336.7994228,336.7994228,305.1106061000001,305.1106061000001,bat,normal,DD,0,1,0,1,2,0.10989010989010989,0.14285714285714285
91,91,151,2009,Kimberley,Kimberley,SRH,1,KXIP,0,KXIP,251.8548469,251.8548469,233.5653872,233.5653872,field,normal,KXIP,0,0,0,0,2,0.07608695652173914,0.16304347826086957
92,92,152,2009,Kimberley,Kimberley,RR,1,CSK,0,RR,251.3936012,251.3936012,260.9975198,260.9975198,bat,normal,CSK,0,1,0,1,2,0.1935483870967742,0.16129032258064516
93,93,153,2009,Port Elizabeth,Port Elizabeth,MI,1,RCB,0,MI,336.7994228,336.7994228,281.7181509,281.7181509,bat,normal,MI,16,1,1,1,2,0.11702127659574468,0.0851063829787234
94,94,154,2009,Johannesburg,Johannesburg,KKR,1,DD,0,DD,224.5290543,224.5290543,305.1106061000001,305.1106061000001,field,normal,DD,0,0,0,0,2,0.07368421052631578,0.14736842105263157
