Team,Year,Runs per Over,Runs per Wicket,Batting Index,Runs conceded per Over,Runs conceded per Wicket,Bowling Index,Batting Wicket Rate,Bowling Wicket Rate,Runs per Wicket_6 Batsmen,Runs per Wicket_4 Batsmen,Runs per Wicket_2 Batsmen,Runs per ball_6 Batsmen,Runs per ball_4 Batsmen,Runs per ball_2 Batsmen,Runs concede per Wicket_5 Bowler,Runs concede per Wicket_3 Bowler,Runs concede per Over_5 Bowler,Runs concede per Over_3 Bowler,Balls bowled per Wicket_5 Bowler,Balls bowled per Wicket_3 Bowler,Team Strength,Cumulative Team Strength
KKR,2019,8.536977491961416,25.776699029126213,220.05509942871416,8.947252747252747,29.5,263.94395604395606,0.05519828510182208,0.05054945054945055,31.80327868852459,31.953488372093023,38.76190476190476,1.5396825396825398,1.645508982035928,1.6023622047244095,26.929577464788732,27.020833333333332,8.50407709414381,8.072614107883817,114.0,120.5,37.50223433464286,32.29909874441744
KTK,2011,,,,,,,,,32.392857142857146,39.1578947368421,46.166666666666664,1.2792665726375176,1.3309481216457961,1.4096692111959288,28.92,24.886363636363637,8.131208997188379,8.061349693251534,128.04,111.13636363636364,33.00193873532468,32.46205397880952
KXIP,2008,,,,,,,,,,,,,,,,,,,,,31.887452444811448,31.887452444811444
KXIP,2009,8.337292161520189,29.620253164556964,246.95270453110433,8.356890459363958,28.49397590361446,238.1210353782622,0.04691211401425178,0.04888103651354535,32.457142857142856,36.125,124.0,1.5351351351351352,1.5763636363636364,1.4761904761904763,25.954545454545453,26.933333333333334,8.04225352112676,7.982436882546652,116.18181818181819,121.46666666666667,41.34540885476191,41.34540885476191
KXIP,2010,6.56842105263158,20.32183908045977,133.48239564428314,7.4325955734406435,26.014084507042252,193.35216935415306,0.05386996904024768,0.047619047619047616,25.76923076923077,27.871794871794872,31.055555555555557,1.1621856027753685,1.155154091392136,1.2178649237472767,24.26,21.837209302325583,7.936750272628135,7.771034482758621,110.04,101.16279069767442,32.112301261836734,34.13790978647959
KXIP,2011,7.798552472858866,26.9375,210.0735072376357,8.56246153846154,36.80952380952381,315.1801318681319,0.04825090470446321,0.03876923076923077,22.73170731707317,22.705882352941178,22.94736842105263,1.256064690026954,1.3151618398637137,1.4581939799331103,32.71739130434783,39.11538461538461,8.157181571815718,7.9453125,144.3913043478261,177.23076923076923,31.18294194761905,34.26447392035714
KXIP,2012,7.52714113389626,23.636363636363637,177.9142449830025,8.260194174757281,27.26923076923077,225.24914115011202,0.05307599517490953,0.05048543689320388,29.68,34.325,38.68,1.3503184713375795,1.3798994974874372,1.4178885630498534,25.53448275862069,25.30952380952381,8.063520871143377,7.952618453865337,114.0,114.57142857142857,29.59178091049479,29.66394628148437
KXIP,2013,7.276392572944297,22.41176470588235,163.07679825245748,7.668980245595302,27.837209302325583,213.48300823203667,0.05411140583554377,0.04591564335290977,30.59090909090909,31.4375,21.0,1.3790983606557377,1.3743169398907105,2.3333333333333335,29.847457627118644,29.166666666666668,7.574193548387097,7.335329341317365,141.864406779661,143.14285714285714,35.7199812515625,31.723987341010417
KXIP,2014,7.588621444201313,22.23076923076923,168.70089210570612,7.528846153846154,30.506493506493506,229.6786963036963,0.05689277899343545,0.04113247863247863,29.49019607843137,33.542857142857144,47.86666666666667,1.3286219081272084,1.3763188745603752,1.4274353876739563,26.629032258064516,24.666666666666668,7.436936936936937,7.488095238095238,128.90322580645162,118.58823529411765,27.935175445098043,28.115743754058823
KXIP,2015,8.557575757575759,29.726315789473684,254.3851993620415,8.283559577677226,26.403846153846153,218.71783269520827,0.047979797979797977,0.05228758169934641,33.74647887323944,37.422222222222224,38.38461538461539,1.5164556962025317,1.5665116279069768,1.6829679595278246,25.757575757575758,25.829787234042552,7.864302235929067,7.342741935483871,117.9090909090909,126.63829787234043,39.695324101428575,36.449143997908166
KXIP,2016,7.164348925410872,18.339805825242717,131.3927681563217,8.703679793415107,34.56923076923077,300.87951532005764,0.06510745891276865,0.04196255648805681,22.980392156862745,24.135135135135137,29.2,1.2454835281615302,1.2848920863309352,1.3518518518518519,31.625,30.857142857142858,8.534082923401265,8.228571428571428,133.40625,135.0,38.28126393875,37.54823526306122
KXIP,2017,7.605686032138443,22.53846153846154,171.42046210896646,8.396166134185304,34.76190476190476,291.8667275216796,0.05624227441285538,0.040255591054313096,24.333333333333332,25.066666666666666,25.0,1.3204134366925064,1.3357015985790408,1.4008620689655173,33.630434782608695,28.317073170731707,8.438181818181818,8.071842410196988,143.47826086956522,126.29268292682927,34.00261894771429,32.36930747735715
KXIP,2018,8.12516129032258,25.289156626506024,205.47847648659152,8.45157152020526,30.5,257.7729313662604,0.053548387096774196,0.046183450930083386,26.59259259259259,28.21875,25.142857142857142,1.420375865479723,1.4851973684210527,1.6761904761904762,24.565217391304348,22.825,8.248175182481752,8.044052863436123,107.21739130434783,102.15,34.88619840904762,35.5564233356369
KXIP,2019,8.086294416243655,22.838709677419356,184.68053053872606,8.621943573667712,30.157894736842106,260.0196667216631,0.05901015228426396,0.04764890282131661,33.132075471698116,36.74418604651163,48.904761904761905,1.4512396694214875,1.4697674418604652,1.5374251497005988,24.419354838709676,23.895833333333332,8.220814479638008,7.847206385404789,106.93548387096774,109.625,36.43120891785714,35.347113288441044
MI,2008,,,,,,,,,,,,,,,,,,,,,35.054257839606784,35.054257839606784
MI,2009,7.542743538767395,24.0126582278481,181.12132269673097,7.873076923076923,24.662650602409638,194.1709453197405,0.052352551358515576,0.0532051282051282,34.30769230769231,35.16129032258065,40.666666666666664,1.3966597077244258,1.4361001317523057,1.413907284768212,26.3,23.571428571428573,8.327176781002638,8.389830508474576,113.7,101.14285714285714,37.96307161439103,37.96307161439103
MI,2010,6.844961240310077,21.536585365853657,147.4170920778975,7.008032128514056,24.23611111111111,169.84744533690318,0.05297157622739018,0.04819277108433735,25.473684210526315,27.37837837837838,36.8,1.1824104234527688,1.2160864345738296,1.1719745222929936,22.596153846153847,20.170731707317074,6.811594202898551,6.589641434262949,119.42307692307692,110.1951219512195,31.59523028116666,32.523905940041665
MI,2011,7.998955613577024,25.277227722772277,202.1914225887341,7.646677471636953,27.430232558139537,209.75014134408806,0.05274151436031332,0.046461372231226365,31.214285714285715,32.19047619047619,35.64,1.3961661341853036,1.4663774403470715,1.4535073409461663,24.918032786885245,24.84090909090909,7.215189873417722,7.066810344827586,124.32786885245902,126.54545454545455,34.52150154499999,32.871468692916665
MI,2012,6.961559285327558,26.134146341463413,181.93440912752385,7.2616056799563085,24.35164835164835,176.83206798662835,0.04439631835408771,0.0496996176952485,33.55555555555556,39.13793103448276,42.0,1.2047872340425532,1.215203426124197,1.4093959731543624,20.79310344827586,17.234375,6.92219387755102,6.50098231827112,108.13793103448276,95.4375,30.061355229738567,29.900303115294122
MI,2013,7.02710843373494,22.00943396226415,154.66267901795862,7.534039334341906,25.9375,195.4141452344932,0.05321285140562249,0.048411497730711045,31.425531914893618,31.75,37.69230769230769,1.2967515364354698,1.3431257344300822,1.4,24.573529411764707,25.6046511627907,7.382916053019146,7.1416216216216215,119.82352941176471,129.06976744186048,27.881742537938592,26.59540226263158
MI,2014,7.573203194321206,25.17699115044248,190.67046980392772,7.491862567811935,23.60683760683761,176.85918301108174,0.05013309671694765,0.05289330922242315,38.705882352941174,41.06818181818182,48.041666666666664,1.358568479008947,1.353558052434457,1.3612750885478158,24.024390243902438,23.160714285714285,7.216117216117216,6.814360770577934,119.85365853658537,122.35714285714286,34.9234538285,33.725937195077776
MI,2015,7.658480868075385,25.1123595505618,192.3225251702077,7.837992013690815,34.17910447761194,267.8955479306264,0.0508280982295831,0.03822019395322305,32.12903225806452,35.729729729729726,44.46666666666667,1.3045186640471513,1.353121801432958,1.3502024291497976,37.853658536585364,49.9,7.632786885245902,7.920634920634921,178.53658536585365,226.8,33.837340573,35.19998184377678
MI,2016,8.310875331564986,30.36046511627907,252.322040589723,8.50531914893617,30.988372093023255,263.5659945571499,0.04562334217506631,0.045744680851063826,36.68181818181818,35.629629629629626,38.916666666666664,1.4283185840707964,1.5342902711323765,1.6215277777777777,31.72222222222222,38.07692307692308,8.452302631578947,8.485714285714286,135.11111111111111,161.53846153846155,44.638046515357146,45.086006730297605
MI,2017,7.7444444444444445,24.892857142857142,192.7813492063492,8.073888541014401,34.66129032258065,279.85139475225725,0.05185185185185185,0.038822792736380715,32.52,37.035714285714285,42.705882352941174,1.3861892583120206,1.458509142053446,1.475609756097561,32.125,30.097560975609756,7.907692307692308,8.030368763557483,146.25,134.9268292682927,31.775027872549018,33.62013648565125
MI,2018,8.01834862385321,24.97142857142857,200.22961992136302,7.841733870967742,26.19191919191919,205.39005987292276,0.053516819571865444,0.049899193548387094,29.037735849056602,32.03448275862069,33.44444444444444,1.3741071428571427,1.4492979719188768,1.618279569892473,27.785714285714285,24.897959183673468,8.189473684210526,7.991266375545852,122.14285714285714,112.16326530612245,39.24594431705357,37.966726688130954
MI,2019,8.12124849939976,25.337078651685392,205.7687119791737,8.154313487241799,26.31764705882353,214.60234436423417,0.05342136854741897,0.05164034021871203,28.274193548387096,29.41860465116279,33.77777777777778,1.39792663476874,1.4024390243902438,1.3755656108597285,22.855263157894736,22.42,7.919452887537994,8.03584229390681,103.89473684210526,100.44,32.90976184583334,34.18563953729798
